WHO Country Name,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Czechia,2015,18.275454545454547,25.054090909090913,18.61909090909091
Czechia,2016,18.62135135135135,24.06108108108108,16.191891891891892
Czechia,2017,18.900526315789474,24.701315789473682,16.022894736842105
Czechia,2018,21.021052631578947,27.45184210526316,16.15342105263158
Czechia,2019,15.636190476190476,21.463333333333335,15.715238095238094
Denmark,2010,13.969999999999999,22.03,33.57
Denmark,2013,11.965,24.225,31.695
Denmark,2014,13.26,22.386666666666667,22.709999999999997
Denmark,2015,11.256666666666666,20.666666666666668,20.653333333333336
Denmark,2016,10.246666666666668,18.73,20.476666666666667
Denmark,2017,9.976666666666667,17.576666666666668,18.03
Denmark,2018,12.62,21.35666666666667,17.83666666666667
Denmark,2019,10.703333333333333,18.69666666666667,15.51
Ecuador,2010,19.27,33.48,23.64
Ecuador,2011,17.82,34.31,23.21
Ecuador,2012,18.43,37.6,24.64
Ecuador,2013,18.45,36.05,24.55
Ecuador,2014,17.32,61.56,24.06
Ecuador,2015,17.27,37.35,22.64
Ecuador,2016,14.07,40.75,20.740000000000002
Ecuador,2017,14.015,43.375,19.395
Ecuador,2018,19.84,33.22,24.09
Estonia,2010,8.2975,14.1125,11.735
Estonia,2013,7.6025,15.615,11.932500000000001
Estonia,2014,7.792,14.342000000000002,9.128
Estonia,2015,6.592499999999999,12.335,8.635
Estonia,2016,5.374,11.41,8.334
Estonia,2017,4.93,10.386000000000001,7.109999999999999
Estonia,2018,6.192,13.118,8.232
Estonia,2019,4.718333333333334,10.873333333333333,6.821666666666666
Finland,2010,8.703,15.841,20.991999999999997
Finland,2013,6.6755555555555555,13.672222222222222,19.535555555555554
Finland,2014,7.808181818181819,16.083636363636366,19.672727272727272
Finland,2015,5.8145454545454545,14.129090909090907,18.19181818181818
Finland,2016,5.963636363636365,12.981818181818182,17.906363636363636
Finland,2017,4.714545454545455,11.281818181818181,15.957272727272727
Finland,2018,6.047272727272727,14.626363636363635,16.183636363636364
Finland,2019,5.3149999999999995,12.754999999999999,14.184000000000001
France,2010,17.749333333333333,25.6655,26.910500000000003
